x,y,theta,wc,df,dr,gyro,hx,hy
500.0,500.0,3.141592653589793,0.0,470.5973035675952,440.6382446698731,0.0,-0.9938734667804767,1.22136496726628e-16
500.0,500.0,3.141592653589793,0.0,435.68462428049475,476.17637427691477,0.0,-1.009411235527785,1.171016907444585e-16
499.99999781833844,500.0,3.1415924111829527,-0.00024240684055476798,490.0474756908055,419.85763053369607,-0.00022547280234161562,-0.927377794152706,2.477496753775928e-07
499.99999345501533,500.0000000000011,3.1415919263692715,-0.00048481368110953597,466.8456321109114,445.21558376663654,-0.0005131551074856525,-0.9909493735554105,7.17091800215032e-07
499.99998691003066,500.00000000000585,3.14159119914875,-0.0007272205216643039,527.6653923492145,447.2266575797857,-0.0007647134207892309,-1.0537100680576938,1.5330417002828332e-06
499.99997818338437,500.00000000001853,3.141590229521388,-0.0009696273622190719,449.5404452159808,456.7139781136125,-0.0010552098012813584,-1.0301249116191915,2.4726207520744798e-06
499.99996727507653,500.000000000045,3.141589017487185,-0.0012120342027738399,474.12210998923996,460.0056227925935,-0.0012787608784085303,-0.9963325992465005,3.577887761793692e-06
499.9999541851072,500.0000000000926,3.141587563046142,-0.0014544410433286077,458.486203811118,480.5212328109227,-0.0015052925739273081,-1.0466755682684086,5.024093557351673e-06
499.9999389134762,500.00000000017036,3.141585866198258,-0.0016968478838833758,504.49921465895216,483.4152554371743,-0.0015965728203085406,-0.9911733929042127,6.60719906501728e-06
499.9999214601837,500.0000000002888,3.141583926943534,-0.0019392547244381439,429.01336235492926,419.685799291758,-0.0018062085862991747,-1.0443061723944858,8.74452692141236e-06
499.9999018252296,500.00000000046015,3.1415817452819694,-0.002181661564992912,478.0949775696908,466.49533827443395,-0.002547086757280149,-1.024178469601263,1.1709538310872695e-05
499.99988000861396,500.00000000069815,3.1415793212135634,-0.00242406840554768,453.07322457624474,395.7473498578993,-0.002199679428643989,-1.0301260854023693,1.3626427422909994e-05
499.99985601033677,500.0000000010181,3.1415766547383175,-0.002666475246102448,484.7237156165357,431.1194287174254,-0.0027467050503340463,-0.9949433281905541,1.489734210486137e-05
499.99982983039797,500.00000000143694,3.141573745856231,-0.0029088820866572163,436.61943576559094,449.38754703934165,-0.002931348784167073,-0.9599897834150137,1.791591305960482e-05
499.9998014687976,500.0000000019732,3.141570594567304,-0.003151288927211985,527.4366514163997,449.50139057270707,-0.0033089707678232135,-0.9813262408802449,2.1148363919016634e-05
499.99977092553576,500.0000000026469,3.1415672008715365,-0.003393695767766753,487.0453690928888,422.5663046630006,-0.0034885430557826625,-1.023538961706281,2.337637878333714e-05
499.9997382006123,500.0000000034799,3.141563564768928,-0.003636102608321522,455.84773574877227,441.2813112554895,-0.003516909190284006,-1.04134971697317,2.756298851594921e-05
499.99970329402726,500.0000000044953,3.1415596862594795,-0.0038785094488762895,472.9597690323013,429.9908263780499,-0.003720612796581835,-1.0722332735168625,3.263307269478505e-05
499.99966620578067,500.000000005718,3.1415555653431904,-0.004120916289431058,462.7375002454039,460.43449493509826,-0.004532532216968174,-1.1379962152216032,3.376601062007562e-05
499.9996269358725,500.0000000071745,3.14155120202006,-0.0043633231299858265,466.0100992404859,387.208516140573,-0.004300999431593303,-0.9570123510154859,4.386927181347395e-05
499.9995854843028,500.0000000088927,3.141546596290089,-0.004605729970540594,466.8784034421072,444.9137295196513,-0.004445217781437131,-0.9994462106390134,4.30236040831212e-05
499.99954185107157,500.0000000109023,3.1415417481532777,-0.004848136811095361,442.4699261917492,418.7871701328963,-0.004945010004845931,-0.9831729972553108,4.830345232119138e-05
499.99949603617875,500.0000000132345,3.1415366576096257,-0.005090543651650131,466.1899049180249,446.06217218032765,-0.005317619378177844,-1.0617717221993621,5.7916701578923204e-05
499.9994480396244,500.0000000159221,3.141531324659134,-0.005332950492204899,482.5714153147276,442.4425590920899,-0.005483355739751363,-1.0723844403699334,6.192735636545568e-05
499.9993978614085,500.00000001899946,3.141525749301801,-0.0055753573327596674,486.33221410802065,485.5859966633242,-0.005790118867583774,-0.9326691936070028,6.711743240239842e-05
499.999345501531,500.0000000225026,3.141519931537628,-0.005817764173314435,448.37252190496235,494.5077353449725,-0.0060877400167782736,-0.9937045766736341,7.56954061526395e-05
499.99929095999204,500.00000002646897,3.1415138713666138,-0.006060171013869202,515.4581012878795,448.5550869544603,-0.0063876917556953275,-0.9539595472645732,7.69175415883513e-05
499.99923423679155,500.00000003093777,3.14150756878876,-0.006302577854423973,464.07782681761125,434.692453739519,-0.0061447805300068525,-1.0643339346595362,9.198984199376558e-05
499.9991753319295,500.00000003594965,3.141501023804065,-0.00654498469497874,481.6233812826393,452.32313095756643,-0.006274608998899084,-0.969999363804618,8.77378062408787e-05
499.99911424540596,500.000000041547,3.1414942364125293,-0.006787391535533507,463.9335073674466,448.0844402057197,-0.006410935177498362,-0.9987569058966599,9.544393914948079e-05
499.99905097722086,500.0000000477737,3.1414872066141535,-0.007029798376088276,485.3624346833397,432.0264878640698,-0.007258936614972512,-0.9524192866005321,0.00010272059745723979
