x,y,theta,wc,df,dr,gyro,hx,hy
5000.0,5000.0,3.141592653589793,0.0,4610.617936253864,5365.586241432107,0.0,-1.0930637134065275,1.1661221987474667e-16
5000.0,5000.0,3.141592653589793,0.0,4874.311840480351,4933.990113665531,0.0,-0.9957618632997698,1.2646243271300688e-16
4999.99992698706,5000.0,3.141592818902111,0.0001653123178304063,4731.881353251145,4586.0693360787445,0.00017219592331156172,-1.0790673456635975,-1.590875397128909e-07
4999.999780961179,4999.999999999976,3.141593149526747,0.0003306246356608126,4328.202242883126,4405.37763742394,0.00031599087002148095,-1.0585045171756065,-4.841037971935016e-07
4999.999561922357,4999.999999999867,3.1415936454637006,0.0004959369534912189,4774.565375735975,4753.584402016346,0.00046341271914848947,-1.0416494278148423,-9.635565766723663e-07
4999.9992698705955,4999.999999999577,3.141594306712972,0.0006612492713216253,4651.189799284359,5222.419433811596,0.000698357634327964,-0.9967564711197421,-1.582993679134129e-06
4999.998904805893,4999.999999998973,3.141595133274561,0.0008265615891520315,5064.379914074448,4472.02060089873,0.0008669597272412281,-1.0107324194784744,-2.654434542019991e-06
4999.9984667282515,4999.999999997886,3.141596125148468,0.0009918739069824378,4412.642124071919,4360.779232376308,0.0010239585709935384,-1.0801476173015685,-3.3521467403303676e-06
4999.997955637668,4999.999999996112,3.1415972823346925,0.0011571862248128445,4406.751257101508,4466.399184956786,0.0011504493579220022,-0.9822068834315212,-4.845439954027763e-06
4999.997371534146,4999.999999993408,3.1415986048332347,0.0013224985426432505,4947.029256437754,4461.761312746555,0.0012678095778051164,-1.040959451281521,-5.891903181515361e-06
4999.996714417683,4999.999999989497,3.1416000926440955,0.0014878108604736572,4610.45723330952,4594.8783286016505,0.0013954998132404174,-0.9418156491808969,-7.685585441245514e-06
4999.995984288279,4999.999999984066,3.141601745767274,0.0016531231783040632,4676.765826210077,4746.266313576221,0.0016185432389761408,-0.939745452020035,-8.456944103398112e-06
4999.995181145935,4999.999999976763,3.1416035642027706,0.0018184354961344699,4983.425436944454,4149.551169972957,0.001618406369127062,-1.013453497458172,-1.1370690804941223e-05
4999.994304990651,4999.999999967204,3.1416055479505847,0.001983747813964876,4532.42450368678,4496.273095133576,0.0018771337558641746,-0.9469502338141366,-1.3415727240924207e-05
4999.993355822426,4999.9999999549655,3.1416076970107167,0.002149060131795283,4878.646353549747,4685.939730625985,0.002074322932126685,-1.1218005933520538,-1.4591350905867523e-05
4999.992333641261,4999.999999939589,3.1416100113831664,0.0023143724496256894,5099.076778801281,4431.381122094502,0.002370727834260971,-1.0475440248814076,-1.7826726311871806e-05
