wR,wL
-1.6964600329384896,-1.6964600329384896
-1.7069320084504556,-1.7069320084504556
-1.7174039839624213,-1.7174039839624213
-1.7278759594743873,-1.7278759594743873
-1.738347934986353,-1.738347934986353
-1.7488199104983193,-1.7488199104983193
-1.7592918860102853,-1.7592918860102853
-1.7697638615222515,-1.7697638615222515
-1.7802358370342173,-1.7802358370342173
-1.7907078125461835,-1.7907078125461835
-1.8011797880581495,-1.8011797880581495
-1.8116517635701155,-1.8116517635701155
-1.8221237390820815,-1.8221237390820815
-1.8325957145940472,-1.8325957145940472
-1.8430676901060132,-1.8430676901060132
-1.853539665617979,-1.853539665617979
-1.8640116411299452,-1.8640116411299452
-1.8744836166419112,-1.8744836166419112
-1.8849555921538774,-1.8849555921538774
-1.8954275676658432,-1.8954275676658432
-1.9058995431778092,-1.9058995431778092
-1.9163715186897754,-1.9163715186897754
-1.9268434942017412,-1.9268434942017412
-1.9373154697137074,-1.9373154697137074
-1.9477874452256734,-1.9477874452256734
-1.9582594207376391,-1.9582594207376391
-1.9687313962496051,-1.9687313962496051
-1.9792033717615711,-1.9792033717615711
-1.9896753472735371,-1.9896753472735371
-2.000147322785503,-2.000147322785503
-2.010619298297469,-2.010619298297469
-2.021091273809435,-2.021091273809435
-2.031563249321401,-2.031563249321401
-2.0420352248333673,-2.0420352248333673
-2.052507200345333,-2.052507200345333
-2.062979175857299,-2.062979175857299
-2.0734511513692646,-2.0734511513692646
-2.083923126881231,-2.083923126881231
-2.094395102393197,-2.094395102393197
-2.104867077905163,-2.104867077905163
-2.115339053417129,-2.115339053417129
-2.1258110289290952,-2.1258110289290952
-2.136283004441061,-2.136283004441061
-2.146754979953027,-2.146754979953027
-2.157226955464993,-2.157226955464993
-2.1676989309769588,-2.1676989309769588
-2.178170906488925,-2.178170906488925
-2.1886428820008907,-2.1886428820008907
-2.199114857512857,-2.199114857512857
-2.2095868330248227,-2.2095868330248227
-2.220058808536789,-2.220058808536789
-2.2305307840487547,-2.2305307840487547
-2.241002759560721,-2.241002759560721
-2.2514747350726867,-2.2514747350726867
-2.261946710584653,-2.261946710584653
-2.2724186860966187,-2.2724186860966187
-2.2828906616085844,-2.2828906616085844
-2.29336263712055,-2.29336263712055
-2.303834612632517,-2.303834612632517
-2.3143065881444826,-2.3143065881444826
-2.324778563656449,-2.324778563656449
-2.3352505391684146,-2.3352505391684146
-2.3457225146803804,-2.3457225146803804
-2.356194490192347,-2.356194490192347
-2.366666465704313,-2.366666465704313
-2.3771384412162786,-2.3771384412162786
-2.3876104167282444,-2.3876104167282444
-2.3980823922402106,-2.3980823922402106
-2.408554367752177,-2.408554367752177
-2.4190263432641426,-2.4190263432641426
-2.4294983187761083,-2.4294983187761083
-2.439970294288074,-2.439970294288074
-2.4504422698000408,-2.4504422698000408
-2.4609142453120065,-2.4609142453120065
-2.4713862208239727,-2.4713862208239727
-2.4818581963359385,-2.4818581963359385
-2.4923301718479043,-2.4923301718479043
-2.5028021473598705,-2.5028021473598705
-2.5132741228718363,-2.5132741228718363
-2.5237460983838025,-2.5237460983838025
-2.5342180738957683,-2.5342180738957683
-2.5446900494077345,-2.5446900494077345
-2.5551620249197007,-2.5551620249197007
-2.5656340004316665,-2.5656340004316665
-2.576105975943632,-2.576105975943632
-2.586577951455598,-2.586577951455598
-2.597049926967564,-2.597049926967564
-2.6075219024795304,-2.6075219024795304
-2.617993877991496,-2.617993877991496
-2.628465853503462,-2.628465853503462
-2.6389378290154277,-2.6389378290154277
-2.649409804527394,-2.649409804527394
-2.6598817800393597,-2.6598817800393597
-2.670353755551326,-2.670353755551326
-2.680825731063292,-2.680825731063292
-2.691297706575258,-2.691297706575258
-2.7017696820872237,-2.7017696820872237
-2.7122416575991894,-2.7122416575991894
-2.722713633111156,-2.722713633111156
-2.733185608623122,-2.733185608623122
-2.743657584135088,-2.743657584135088
-2.754129559647054,-2.754129559647054
-2.76460153515902,-2.76460153515902
-2.775073510670986,-2.775073510670986
-2.7855454861829516,-2.7855454861829516
-2.796017461694918,-2.796017461694918
-2.8064894372068836,-2.8064894372068836
-2.81696141271885,-2.81696141271885
-2.827433388230816,-2.827433388230816
-2.837905363742782,-2.837905363742782
-2.848377339254747,-2.848377339254747
-2.8588493147667142,-2.8588493147667142
-2.8693212902786795,-2.8693212902786795
-2.8797932657906458,-2.8797932657906458
-2.8902652413026115,-2.8902652413026115
-2.9007372168145777,-2.9007372168145777
-2.911209192326544,-2.911209192326544
-2.9216811678385093,-2.9216811678385093
-2.9321531433504755,-2.9321531433504755
-2.9426251188624413,-2.9426251188624413
-2.953097094374408,-2.953097094374408
-2.9635690698863737,-2.9635690698863737
-2.97404104539834,-2.97404104539834
-2.9845130209103052,-2.9845130209103052
-2.9949849964222715,-2.9949849964222715
-3.0054569719342377,-3.0054569719342377
-3.0159289474462034,-3.0159289474462034
-3.0264009229581696,-3.0264009229581696
-3.036872898470135,-3.036872898470135
-3.047344873982101,-3.047344873982101
-3.0578168494940674,-3.0578168494940674
-3.0682888250060336,-3.0682888250060336
-3.0787608005179994,-3.0787608005179994
-3.0892327760299656,-3.0892327760299656
-3.0997047515419314,-3.0997047515419314
-3.1101767270538976,-3.1101767270538976
-3.1206487025658634,-3.1206487025658634
-3.1311206780778296,-3.1311206780778296
-3.141592653589795,-3.141592653589795
-3.152064629101761,-3.152064629101761
-3.1625366046137273,-3.1625366046137273
-3.173008580125693,-3.173008580125693
-3.1834805556376593,-3.1834805556376593
-3.1939525311496255,-3.1939525311496255
-3.2044245066615917,-3.2044245066615917
-3.214896482173557,-3.214896482173557
-3.2253684576855233,-3.2253684576855233
-3.235840433197489,-3.235840433197489
-3.2463124087094553,-3.2463124087094553
-3.2567843842214215,-3.2567843842214215
-3.267256359733387,-3.267256359733387
