x,y,theta,wc,df,dr,gyro,hx,hy
5000.0,5000.0,3.141592653589793,0.0,4588.478952516878,4183.942518503733,0.0,-1.0019814279066437,1.1901187851103026e-16
5000.0,5000.0,3.141592653589793,0.0,4912.544831274753,4805.701091806719,0.0,-1.0032514764841338,1.2139083995456285e-16
4999.999978096118,5000.0,3.141592405621317,-0.00024796847674560946,4751.360531195944,4771.500975827844,-0.0002618236851705952,-1.0548674674768306,2.49586305797243e-07
4999.999934288354,5000.000000000011,3.141591909684364,-0.0004959369534912189,4597.692495498515,4549.548196131655,-0.0004779616560706327,-1.0848988788768754,7.349937349816445e-07
4999.999868576708,5000.000000000059,3.141591165778934,-0.0007439054302368283,4967.506581810851,4330.296710147585,-0.0007532049440931282,-0.9897425025888041,1.4889591573825906e-06
4999.999780961179,5000.00000000019,3.141590173905027,-0.0009918739069824378,4477.706074893179,5375.577343602112,-0.0009980343339164664,-1.0130624373231696,2.4948867502353062e-06
4999.9996714417675,5000.000000000461,3.1415889340626437,-0.0012398423837280473,4812.608131232518,4643.913341330483,-0.0011735957553350117,-1.0194310104162867,3.744638889922748e-06
4999.999540018474,5000.00000000095,3.1415874462517834,-0.0014878108604736565,4812.595544461574,4729.912348568307,-0.0015008833905916705,-1.01133894821856,5.018156150997692e-06
4999.9993866913,5000.000000001749,3.1415857104724467,-0.0017357793372192664,4418.3021931570165,4593.007305176494,-0.001601515359176328,-1.018148297165681,7.055673541007088e-06
4999.999211460244,5000.000000002965,3.141583726724633,-0.0019837478139648757,4692.530361004005,4431.599214148936,-0.001962862942726988,-1.022275884752047,8.67882543515281e-06
4999.999014325305,5000.000000004725,3.1415814950083427,-0.0022317162907104855,4984.179394228273,4703.089544577461,-0.0022632690213725895,-1.000928696736696,1.1725982611631292e-05
4999.998795286485,5000.00000000717,3.141579015323576,-0.002479684767456095,4704.64097931288,4809.410773249132,-0.0023802428867306766,-1.0405941310934765,1.4438499569242747e-05
4999.9985543437815,5000.000000010456,3.1415762876703317,-0.0027276532442017045,4437.1721958284115,4824.326235990662,-0.0026885215228885624,-1.0224375659391276,1.689313481819747e-05
4999.998291497196,5000.0000000147575,3.1415733120486107,-0.0029756217209473143,5062.290087935342,4282.313644282723,-0.0029970604465872895,-1.061592770904608,1.8348423805545153e-05
4999.998006746729,5000.000000020264,3.1415700884584137,-0.0032235901976929247,4666.673770050308,4714.98155332836,-0.0033223757836186156,-1.058838654634825,2.3564350027177585e-05
4999.997700092379,5000.000000027185,3.1415666168997394,-0.003471558674438534,4419.840331942229,4373.653845113917,-0.003853295991018423,-0.939086429525729,2.5344046993537835e-05
4999.9973715341475,5000.0000000357395,3.141562897372588,-0.0037195271511841436,4669.316119081847,4779.809227882874,-0.0038150488794392087,-0.9906978377386456,2.9124201493288323e-05
4999.997021072034,5000.000000046168,3.14155892987696,-0.003967495627929753,4661.925134825668,4444.380984343158,-0.003928562292951078,-0.9350040867698574,3.3651017943314376e-05
4999.996648706038,5000.000000058725,3.1415547144128557,-0.004215464104675363,4995.122027766375,4705.393063429395,-0.004146225742133149,-1.0485286119447852,4.1453243066602996e-05
4999.996254436161,5000.000000073684,3.1415502509802744,-0.004463432581420973,4839.571638289288,5156.627532656712,-0.004470985399677001,-1.0672964224948922,4.285027691708869e-05
4999.995838262401,5000.000000091331,3.1415455395792162,-0.004711401058166583,4614.198129528231,4565.260651156809,-0.004572311767037927,-0.9833891740366644,4.433769156833894e-05
