x,y,theta,wc,df,dr,gyro,hx,hy
5000.0,5000.0,3.141592653589793,0.0,4917.961871966693,4496.897151123116,0.0,-1.0009523617179612,1.1752240367893975e-16
5000.0,5000.0,3.141592653589793,0.0,4959.486444832458,4302.810623136784,0.0,-1.003710005777975,1.1967694461796897e-16
4999.999956192236,5000.0,3.141592653589793,0.0,4578.945838438822,4631.627429223157,0.0,-0.9987941614441274,1.2291771062485253e-16
4999.999868576708,5000.0,3.141592653589793,0.0,4595.420841521717,4853.665496044135,0.0,-0.9554860817598195,1.1850071686942729e-16
4999.9997371534155,5000.0,3.141592653589793,0.0,4693.485905278547,4428.180286463969,0.0,-1.060521451278849,1.2763634971853125e-16
4999.999561922359,5000.0,3.141592653589793,0.0,4917.968282381752,4458.071488498289,0.0,-0.981196073398821,1.265084868206395e-16
4999.999342883539,5000.0,3.141592653589793,0.0,4985.635630455172,4881.167307066312,0.0,-0.984583328381632,1.2122204847683515e-16
4999.999080036954,5000.0,3.141592653589793,0.0,4667.010014928145,4746.7790728883165,0.0,-1.0178413234944228,1.2367485573400572e-16
4999.998773382604,5000.0,3.141592653589793,0.0,4727.41042016313,4664.12376569502,0.0,-1.0198380923344608,1.2112774815442236e-16
4999.998422920489,5000.0,3.141592653589793,0.0,5031.180110751334,4514.78610659402,0.0,-0.9486414290351484,1.3441927859825317e-16
4999.998028650611,5000.0,3.141592653589793,0.0,4995.482451545015,4411.291016118632,0.0,-0.9456845916729706,1.1571637430223618e-16
4999.997590572968,5000.0,3.141592653589793,0.0,5208.074786457962,4747.026690390903,0.0,-1.071893160419293,1.1948642207669435e-16
4999.997108687561,5000.0,3.141592653589793,0.0,4722.265228076781,4582.7480328030015,0.0,-1.0131656006313097,1.167184150897196e-16
4999.99658299439,5000.0,3.141592653589793,0.0,4589.316557131728,4679.39244267248,0.0,-1.0228814305217337,1.153313145136261e-16
4999.996013493455,5000.0,3.141592653589793,0.0,4637.9149807274225,4570.134239594856,0.0,-0.82688938784017,1.2186591163802208e-16
4999.995400184756,5000.0,3.141592653589793,0.0,4350.101326892259,5249.832505291382,0.0,-1.0027435345893934,1.2734411871889954e-16
4999.994743068293,5000.0,3.141592653589793,0.0,4927.2882493377065,4451.678373050879,0.0,-1.0301849737692332,1.2850479163414099e-16
4999.994042144066,5000.0,3.141592653589793,0.0,4793.891960565452,4568.989815967424,0.0,-1.0014874784904397,1.2327439064333486e-16
4999.993297412075,5000.0,3.141592653589793,0.0,4520.984915138349,5059.666633241301,0.0,-1.048480076020695,1.2733490729519077e-16
4999.992508872319,5000.0,3.141592653589793,0.0,5139.845029966471,4427.916416493687,0.0,-0.8691071786963145,1.22418114456012e-16
4999.9916765248,5000.0,3.141592653589793,0.0,4930.963249212953,4623.661176855884,0.0,-0.9725973485663325,1.3594137968994438e-16
4999.990800369515,5000.0,3.141592653589793,0.0,4923.4531791464915,4348.590055991912,0.0,-1.01267298806436,1.1454443759078243e-16
4999.989880406465,5000.0,3.141592653589793,0.0,4595.633477460368,4719.438056126504,0.0,-0.952133943179717,1.321469356394091e-16
4999.988916635652,5000.0,3.141592653589793,0.0,4978.714312916416,4411.1390704822525,0.0,-0.9418457078533516,1.2475104479340646e-16
4999.987909057074,5000.0,3.141592653589793,0.0,4404.522346512508,4895.312604581523,0.0,-0.978202527701691,1.2070622844410763e-16
4999.986857670732,5000.0,3.141592653589793,0.0,4893.64661876186,4655.450299675637,0.0,-1.0049481370596733,1.1445976645262583e-16
4999.985762476626,5000.0,3.141592653589793,0.0,4483.731943508304,4429.676506875144,0.0,-1.0131116014192556,1.2690194216563755e-16
4999.9846234747565,5000.0,3.141592653589793,0.0,4920.588759636305,5071.797235748743,0.0,-1.0035274757424413,1.2703667415123854e-16
4999.9834406651225,5000.0,3.141592653589793,0.0,4573.559421810662,4107.280340183779,0.0,-1.0384083663291854,1.2565709747571904e-16
4999.9822140477245,5000.0,3.141592653589793,0.0,4190.869501829955,4895.078954914908,0.0,-1.0019555361644155,1.2437293530891256e-16
4999.980943622562,5000.0,3.141592653589793,0.0,4755.10765812468,4523.732321841629,0.0,-0.9351018218712199,1.1903392061730453e-16
