x,y,theta,wc,df,dr,gyro,hx,hy
500.0,500.0,3.141592653589793,0.0,476.8583065368944,458.95792745770945,0.0,-0.9644176040147056,1.2171935685151238e-16
500.0,500.0,3.141592653589793,0.0,492.25641023951323,511.2330533218458,0.0,-0.9722416551534524,1.3000098994050577e-16
499.9998909169218,500.0,3.141592653589793,0.0,446.335895601778,458.6805376428669,0.0,-0.9823043645070484,1.2898203190008482e-16
499.9996727507653,500.0,3.141592653589793,0.0,495.85577726114684,447.77884834422656,0.0,-1.0086605758736036,1.2310870470916784e-16
499.99934550153057,500.0,3.141592653589793,0.0,448.54936257499173,451.47886864608125,0.0,-1.0173469443262098,1.1990660369769335e-16
499.99890916921754,500.0,3.141592653589793,0.0,468.9072873732634,445.210321271153,0.0,-1.0390156259726453,1.1974596353334304e-16
499.9983637538263,500.0,3.141592653589793,0.0,461.2747298701098,438.5177189751478,0.0,-0.9964406798058171,1.2610158311047567e-16
499.99770925535677,500.0,3.141592653589793,0.0,469.84081729594084,394.5795243135697,0.0,-0.92341293129676,1.1549924936569777e-16
499.996945673809,500.0,3.141592653589793,0.0,488.2115390782826,460.27588158452005,0.0,-1.03445238593967,1.312170772884725e-16
499.9960730091831,500.0,3.141592653589793,0.0,460.1011174008195,451.87260634269865,0.0,-0.9582248345483954,1.2638091154697626e-16
499.9950912614788,500.0,3.141592653589793,0.0,498.2688557035875,413.8553655912755,0.0,-1.0169538749352336,1.2063210624891247e-16
499.99400043069636,500.0,3.141592653589793,0.0,486.3923561621374,443.63656048490424,0.0,-1.0183784872582147,1.192003284914795e-16
499.9928005168356,500.0,3.141592653589793,0.0,514.5098012927918,437.37884035654173,0.0,-1.0526254951635385,1.2329613311963834e-16
499.9914915198966,500.0,3.141592653589793,0.0,472.4813399448644,444.40482459785994,0.0,-1.1012742092874226,1.3663146623488074e-16
499.9900734398793,500.0,3.141592653589793,0.0,482.6198192915669,427.08634579089045,0.0,-0.9676705928625324,1.2487152428167587e-16
499.98854627678384,500.0,3.141592653589793,0.0,457.3558027871362,466.3156207586855,0.0,-1.0324570352044622,1.2555422297714668e-16
