x,y,theta,wc,df,dr,gyro,hx,hy
500.0,500.0,3.141592653589793,0.0,414.5721397814565,432.81648133332095,0.0,-0.9769435708732988,1.1927723722955434e-16
500.0,500.0,3.141592653589793,0.0,447.8534310585532,438.53601170552145,0.0,-1.129791280142865,1.2634964930289058e-16
499.99996727507653,500.0,3.141592653589793,0.0,469.6173504012976,482.772504459158,0.0,-0.9769086111705039,1.2236363840204064e-16
499.9999018252296,500.0,3.141592653589793,0.0,414.86035177831496,440.6342910713919,0.0,-0.9575473894967507,1.1794061007799925e-16
499.99980365045917,500.0,3.141592653589793,0.0,431.28867220426804,499.90378753656546,0.0,-1.0614497731994021,1.2582997183898e-16
499.9996727507653,500.0,3.141592653589793,0.0,494.8232300165613,385.70290111915284,0.0,-1.0503440835026598,1.172064332997023e-16
499.9995091261479,500.0,3.141592653589793,0.0,458.08344502078523,481.78100661227415,0.0,-0.9767914946960222,1.2482834527675792e-16
499.9993127766071,500.0,3.141592653589793,0.0,451.73533427069884,441.5042360360195,0.0,-0.9496708760773773,1.2215575712829502e-16
499.9990837021428,500.0,3.141592653589793,0.0,510.77148995244556,468.2454659513893,0.0,-0.9927618923872689,1.3203714508256348e-16
499.998821902755,500.0,3.141592653589793,0.0,465.8933367495911,462.6475196760826,0.0,-0.9609570841213411,1.2088130833403987e-16
499.9985273784438,500.0,3.141592653589793,0.0,462.99073470180815,465.41479225047334,0.0,-1.0573663938621911,1.0825606468687148e-16
499.99820012920907,500.0,3.141592653589793,0.0,469.0568609841919,433.62238745997615,0.0,-1.0302425078681465,1.2743262495592814e-16
499.9978401550509,500.0,3.141592653589793,0.0,480.4038710666208,473.4535092567327,0.0,-1.0457523533062676,1.178031596831409e-16
499.9974474559692,500.0,3.141592653589793,0.0,459.1981646890252,530.4280012115786,0.0,-0.8741213628937204,1.2669436425830028e-16
499.9970220319641,500.0,3.141592653589793,0.0,500.93878360576514,423.4720165721639,0.0,-0.9686093026882899,1.2548270830249208e-16
499.9965638830355,500.0,3.141592653589793,0.0,486.0236166668667,461.63279476840404,0.0,-1.011794896478519,1.1877806473764242e-16
499.9960730091834,500.0,3.141592653589793,0.0,484.24650964900786,434.9432283610877,0.0,-0.9729187150886925,1.260213107027704e-16
499.9955494104079,500.0,3.141592653589793,0.0,432.9730390626423,445.0986264231443,0.0,-1.105308765039101,1.2562861560256234e-16
499.99499308670875,500.0,3.141592653589793,0.0,494.05618281605825,465.8158772722595,0.0,-0.9679962934755947,1.179711339162509e-16
499.99440403808615,500.0,3.141592653589793,0.0,473.9486973479826,461.13086896165834,0.0,-1.0475752130571823,1.205984034804389e-16
499.9937822645401,500.0,3.141592653589793,0.0,476.99254241075613,507.7051398082572,0.0,-1.0011565200843964,1.18266012329231e-16
499.99312776607053,500.0,3.141592653589793,0.0,460.3861049881581,429.1170721860731,0.0,-1.0733564930855735,1.259665952940709e-16
499.9924405426775,500.0,3.141592653589793,0.0,485.0208461767618,430.4193432491131,0.0,-0.9345226351967829,1.2489966543330572e-16
499.991720594361,500.0,3.141592653589793,0.0,480.73725622526587,456.9184444618057,0.0,-0.9565033126661062,1.14732445805392e-16
499.99096792112107,500.0,3.141592653589793,0.0,475.9914614050558,461.6213074313331,0.0,-1.0337723030959556,1.2237697120636562e-16
499.99018252295764,500.0,3.141592653589793,0.0,512.1671117667352,462.44571582325966,0.0,-1.0154021701025717,1.2218425544209655e-16
499.98936439987074,500.0,3.141592653589793,0.0,459.50659618044074,449.82542580613824,0.0,-1.041340008807763,1.2277958605648011e-16
499.98851355186036,500.0,3.141592653589793,0.0,447.3611769915095,490.60438239570794,0.0,-1.0319476177968154,1.3045369984252508e-16
499.9876299789265,500.0,3.141592653589793,0.0,474.9257139026137,402.2425902103901,0.0,-1.0191232137118091,1.2445188693406033e-16
499.9867136810692,500.0,3.141592653589793,0.0,481.0852291216085,448.87595110134924,0.0,-1.1210286297098602,1.3562979238891528e-16
499.9857646582884,500.0,3.141592653589793,0.0,481.54204785171044,507.82945329386814,0.0,-0.9855074159842245,1.2763546944049315e-16
499.98478291058416,500.0,3.141592653589793,0.0,459.5835078418854,459.13615570330506,0.0,-1.0268945457157355,1.2849823127572016e-16
499.9837684379564,500.0,3.141592653589793,0.0,466.97945955294796,514.4532544306519,0.0,-1.0481796669278636,1.2542334016513086e-16
499.9827212404052,500.0,3.141592653589793,0.0,459.9262234968839,438.9568512217904,0.0,-0.941098060489091,1.1623946622405186e-16
499.98164131793055,500.0,3.141592653589793,0.0,472.7230598856818,470.1712080941577,0.0,-1.0186641253350273,1.2451519374804281e-16
499.9805286705324,500.0,3.141592653589793,0.0,448.1516152520024,451.1450403384538,0.0,-0.9664029038032372,1.3267419643402101e-16
499.9793832982108,500.0,3.141592653589793,0.0,478.49047488801193,475.7233485215495,0.0,-1.0415222893246048,1.2528946758551576e-16
499.9782052009657,500.0,3.141592653589793,0.0,484.3399753303056,473.4338496943076,0.0,-1.041247350273577,1.2727475474472306e-16
499.97699437879714,500.0,3.141592653589793,0.0,488.88694242799295,460.9071335520579,0.0,-1.0143504955156335,1.163737759712714e-16
499.9757508317051,500.0,3.141592653589793,0.0,433.6959072623426,444.2126015761963,0.0,-1.0043382955359215,1.2738402028678923e-16
499.9744745596896,500.0,3.141592653589793,0.0,410.7547486020644,404.4644371848566,0.0,-1.0159756934727604,1.2542296588073676e-16
499.97316556275064,500.0,3.141592653589793,0.0,455.1396397729699,480.68093827568237,0.0,-0.9390458638210822,1.233311414995951e-16
499.9718238408882,500.0,3.141592653589793,0.0,472.1455422566294,461.49971190820077,0.0,-0.9629439243160273,1.2222244050529773e-16
499.9704493941023,500.0,3.141592653589793,0.0,453.20892332090943,449.379649990082,0.0,-0.9788936532110286,1.2257734263108134e-16
499.9690422223929,500.0,3.141592653589793,0.0,485.7961112483746,452.6796781732822,0.0,-1.0391135246436642,1.2570171871768243e-16
499.96760232576,500.0,3.141592653589793,0.0,484.4939841259513,415.5934989593321,0.0,-1.020141149896826,1.3516803198034946e-16
